# ids|reference|exact Arabic search text (diacritics omitted)|Russian meaning|English meaning|Kyrgyz meaning
two-armies|bukhari:7121|لا تقوم الساعة حتى تقتتل فئتان عظيمتان، يكون بينهما مقتلة عظيمة، دعوتهما واحدة|Час не наступит, пока не сразятся две большие группы: между ними произойдёт великое кровопролитие, хотя призыв у них один.|The Hour will not come until two great groups fight, with great bloodshed between them, although their call is one.|Эки чоң топ согушуп, чакырыгы бир болсо да, алардын ортосунда чоң кан төгүлмөйүнчө Кыямат келбейт.
turks|muslim:2912d|لا تقوم الساعة حتى يقاتل المسلمون الترك قوما وجوههم كالمجان المطرقة يلبسون الشعر ويمشون في الشعر|Час не наступит, пока мусульмане не сразятся с тюрками — людьми, чьи лица подобны щитам, обтянутым кожей; они носят волосяные одежды и ходят в волосяной обуви.|The Hour will not come until Muslims fight the Turks, people whose faces resemble leather-covered shields, who wear garments of hair and walk in footwear of hair.|Мусулмандар жүздөрү тери капталган калкандай, жүндөн кийим жана бут кийим кийген түрк элдери менен согушмайынча Кыямат келбейт.
treasures|muslim:1013|تقيء الأرض أفلاذ كبدها أمثال الأسطوان من الذهب والفضة|Земля извергнет сокровища своих недр — золото и серебро, подобные столбам.|The earth will cast out the treasures of its depths, gold and silver like pillars.|Жер өз койнундагы казыналарын — мамылардай алтын-күмүштү — сыртка чыгарат.
faith-trial|muslim:118|بادروا بالأعمال فتنا كقطع الليل المظلم يصبح الرجل مؤمنا ويمسي كافرا أو يمسي مؤمنا ويصبح كافرا يبيع دينه بعرض من الدنيا|Спешите совершать деяния до смут, подобных частям тёмной ночи. Человек утром будет верующим, а вечером — неверующим, или вечером — верующим, а утром — неверующим, продавая свою религию за мирское достояние.|Hasten to do good deeds before trials like portions of a dark night. A man will be a believer in the morning and a disbeliever in the evening, or a believer in the evening and a disbeliever in the morning, selling his religion for worldly gain.|Караңгы түндүн бөлүктөрүндөй бүлгүндөр келгиче жакшы амалдарга шашылгыла. Киши эртең менен момун, кечинде каапыр, же кечинде момун, эртең менен каапыр болуп, динин дүйнөлүк пайдага сатат.
earnings|bukhari:2083|ليأتين على الناس زمان لا يبالي المرء بما أخذ المال، أمن حلال أم من حرام|Непременно придёт время, когда человек не будет заботиться о том, как приобрёл имущество: дозволенным или запретным путём.|A time will surely come when a person does not care how wealth was acquired, whether lawfully or unlawfully.|Адам байлыкты адалданбы же арамданбы алганына маани бербеген мезгил сөзсүз келет.
pledges|bukhari:2651|إن بعدكم قوما يخونون ولا يؤتمنون، ويشهدون، ولا يستشهدون وينذرون ولا يفون، ويظهر فيهم السمن|После вас будут люди, которые предают и не заслуживают доверия, свидетельствуют, хотя их не просят, дают обеты и не исполняют их; среди них распространится полнота.|After you there will be people who betray and cannot be trusted, testify without being asked, make vows without fulfilling them, and among whom corpulence spreads.|Силерден кийин кыянат кылган, ишенимге татыксыз, суралбай туруп күбөлүк берген, назир айтып аны аткарбаган адамдар келет; алардын арасында семиздик жайылат.
scholars|bukhari:100|إن الله لا يقبض العلم انتزاعا، ينتزعه من العباد، ولكن يقبض العلم بقبض العلماء|Аллах не забирает знание, вырывая его у рабов. Он забирает знание, забирая учёных.|Allah does not take knowledge away by tearing it from His servants. He takes knowledge away by taking the scholars.|Аллах илимди пенделеринин ичинен сууруп алуу менен албайт. Ал аалымдардын жанын алуу аркылуу илимди алат.
medina-growth|muslim:2903|تبلغ المساكن إهاب أو يهاب|Жилища достигнут Ихаба или Яхаба.|The dwellings will reach Ihab or Yahab.|Турак жайлар Ихабга же Яхабга жетет.
medina-fitna|bukhari:7060|فإني لأرى الفتن تقع خلال بيوتكم كوقع القطر|Поистине, я вижу, как смуты обрушиваются среди ваших домов, подобно каплям дождя.|Indeed, I see turmoil falling among your houses like raindrops.|Чындыгында, үйлөрүңөрдүн арасына жаан тамчыларындай түшкөн бүлгүндөрдү көрүп турам.
rulers|bukhari:7052|إنكم سترون بعدي أثرة وأمورا تنكرونها|После меня вы увидите предпочтение личных интересов и дела, которые будете порицать.|After me you will see self-preference and things you disapprove of.|Менден кийин өз кызыкчылыгын артык көрүүнү жана силер жактырбаган иштерди көрөсүңөр.
young-rulers|bukhari:7058|هلكة أمتي على يدى غلمة من قريش|Гибель моей общины будет от рук юнцов из курайшитов.|The ruin of my community will come at the hands of young men of Quraysh.|Үммөтүмдүн кыйроосу курайштык жаштардын колунан болот.
hasan|bukhari:7109|ابني هذا سيد ولعل الله أن يصلح به بين فئتين من المسلمين|Этот мой сын — господин. Быть может, Аллах примирит через него две группы мусульман.|This son of mine is a leader. Perhaps Allah will reconcile two groups of Muslims through him.|Бул уулум — башчы. Балким, Аллах ал аркылуу мусулмандардын эки тобун жараштырат.
ammar|muslim:2915a|بؤس ابن سمية تقتلك فئة باغية|Бедный сын Сумайи! Тебя убьёт мятежная группа.|Poor son of Sumayyah! A rebellious group will kill you.|Бечара Сумайянын уулу! Сени козголоңчу топ өлтүрөт.
conquests|muslim:2900|تغزون جزيرة العرب فيفتحها الله ثم فارس فيفتحها الله ثم تغزون الروم فيفتحها الله ثم تغزون الدجال فيفتحه الله|Вы выступите в поход на Аравийский полуостров, и Аллах дарует его завоевание; затем на Персию, и Аллах дарует её завоевание; затем против римлян, и Аллах дарует победу; затем против Даджаля, и Аллах дарует победу над ним.|You will campaign in the Arabian Peninsula and Allah will grant its conquest, then Persia and Allah will grant its conquest; then you will fight the Romans and Allah will grant victory, then the Dajjal and Allah will grant victory over him.|Араб жарым аралына жортуул кыласыңар, Аллах аны алууну насип кылат; андан кийин Персияны, Аллах аны да алууну насип кылат; андан кийин римдиктерге каршы согушасыңар, Аллах жеңиш берет; андан кийин Дажжалга каршы чыгып, Аллах жеңиш берет.
mahdi|abudawud:4284|المهدي من عترتي من ولد فاطمة|Махди — из моего рода, из потомков Фатимы.|The Mahdi is from my family, from the descendants of Fatimah.|Махди менин үй-бүлөмдөн, Фатиманын урпактарынан болот.
joint-campaign|abudawud:4292|ستصالحون الروم صلحا آمنا فتغزون أنتم وهم عدوا من ورائكم فتنصرون وتغنمون وتسلمون|Вы заключите с римлянами безопасный мир. Затем вы вместе с ними выступите против врага позади вас, одержите победу, получите добычу и останетесь невредимы.|You will make a secure peace with the Romans. Then you and they will campaign against an enemy behind you; you will be victorious, gain spoils and remain safe.|Римдиктер менен коопсуз тынчтык түзөсүңөр. Андан кийин алар менен бирге артыңардагы душманга каршы чыгып, жеңишке жетип, олжо алып, аман каласыңар.
truce-breach|abudawud:4292|ثم ترجعون حتى تنزلوا بمرج ذي تلول فيرفع رجل من أهل النصرانية الصليب فيقول غلب الصليب فيغضب رجل من المسلمين فيدقه فعند ذلك تغدر الروم وتجمع للملحمة|Затем вы вернётесь и остановитесь на лугу с холмами. Один из христиан поднимет крест и скажет: «Крест победил». Один из мусульман разгневается и сломает его. Тогда римляне нарушат договор и соберутся для аль-Мальхамы.|Then you will return and camp in a meadow with hills. A Christian man will raise the cross and say: “The cross has won.” A Muslim man will become angry and break it. Then the Romans will betray the treaty and assemble for al-Malhama.|Андан кийин кайтып, дөңсөөлөрү бар шалбаага токтойсуңар. Бир христиан айкаш жыгачты көтөрүп: «Айкаш жыгач жеңди», — дейт. Бир мусулман ачууланып аны сындырат. Ошондо римдиктер келишимди бузуп, аль-Мальхамага чогулушат.
